categoria,masa,Dim1_coord,Dim2_coord,Dim1_contrib,Dim2_contrib,contrib_total_dim12,Dim1_cos2,Dim2_cos2,cos2_total_dim12
Plano,0.3374900389825763,-0.5407232499252717,-0.10960099979872616,46.38537434047671,4.4566207359705015,50.84199507644721,0.9514815139896808,0.03909122672704124,0.9905727407167221
Ondulado,0.13764510779436154,0.4989158786057284,-0.44567140763242824,16.105916815852908,30.05425804984044,46.16017486569335,0.5272389848793305,0.4207095863080213,0.9479485711873519
Pendiente moderada,0.1453339363787125,0.2510096165246061,0.4368609587209028,4.3044510786597465,30.490826125720723,34.79527720438047,0.23861289549139936,0.7227692367616867,0.961382132253086
Pendiente,0.1274148736835304,0.6434134241622773,-0.21122143187823889,24.795357983382033,6.249018041977875,31.04437602535991,0.8274930963499212,0.08917848876852985,0.916671585118451
Moderadamente ondulado,0.12913786048114406,-0.01243675251440598,0.2560872169236552,0.00938939458412024,9.309901226966309,9.31929062155043,0.00137598695335795,0.5834130408413635,0.5847890277947214
Pendiente fuerte,0.01001486076112941,0.478806571516642,0.769069192786208,1.0792825107275847,6.511655723335796,7.590938234063381,0.1702978170567857,0.4393591809493155,0.6096569980061012
Plano y ondulado,0.0172514053111068,-0.8132598195716859,-0.2961466448785294,5.363559831622754,1.6632356994701585,7.026795531092913,0.5315733155246518,0.07048848453771184,0.6020618000623637
Pendiente leve,0.02524175658504016,0.11040758701407612,0.4679718918972657,0.14463967269151937,6.076797959183658,6.221437631875177,0.03181125044056599,0.5715081671835059,0.6033194176240719
Ondulado y pendiente,0.02000818418728866,0.2926772223470796,0.3679187855415162,0.8056669443136448,2.9773321594727333,3.782999103786378,0.15214709250608963,0.2404305966172989,0.39257768912338853
Ligeramente ondulado,0.03775494820270939,0.05369161955823714,0.21816321934984131,0.05116310657364018,1.9753890039174855,2.0265521104911257,0.01678352874388964,0.27709796450573104,0.2938814932496207
