tipo,categoria,masa,Dim1_coord,Dim2_coord,contrib_total_dim12,cos2_total_dim12
Cultivo,Caña Panelera,0.08847537205746162,0.7066749677736818,-0.7134117172658921,70.27129976544066,0.9769266536769864
Cultivo,Arroz,0.05957226852749241,-1.0504471856081816,-0.28062550786239193,36.05749492627477,0.8699134885577234
Cultivo,Café,0.09609958863690209,0.5793587747991659,0.4130242628681758,33.1844479817903,0.8709408344219466
Cultivo,Aguacate,0.10258232646292348,0.493756031837956,0.19082594460903404,15.862628740590946,0.9027025969403042
Cultivo,Cacao,0.21823781525274064,-0.05293193347512372,0.2297981201217533,12.95632429200994,0.6939476543903857
Cultivo,Maíz,0.04921281040684026,-0.6583151361357772,-0.01610001020592416,10.039750005579664,0.8744693197264907
Cultivo,Pasto Kikuyo,0.03165988240615106,0.30439019945645784,-0.4751121557211158,9.23521067970266,0.6270581247186385
Cultivo,Caucho,0.03006611961835842,-0.5958581301132886,-0.01265894220851238,5.023325165470332,0.7620303994552541
Cultivo,Pastos,0.27022894187073293,-0.14211848022462367,-0.0752141534981112,4.246214584792077,0.3702736624612855
Cultivo,Plátano,0.05386487476039715,-0.29036720880884753,0.12920038484036983,3.1233038583486294,0.5347556174494236
Topografía,Plano,0.3374900389825763,-0.5407232499252717,-0.10960099979872616,50.84199507644721,0.990572740716722
Topografía,Ondulado,0.13764510779436154,0.4989158786057284,-0.44567140763242824,46.16017486569335,0.947948571187352
Topografía,Pendiente moderada,0.1453339363787125,0.2510096165246061,0.4368609587209028,34.79527720438047,0.961382132253086
Topografía,Pendiente,0.1274148736835304,0.6434134241622773,-0.21122143187823889,31.04437602535991,0.916671585118451
Topografía,Moderadamente ondulado,0.12913786048114406,-0.01243675251440598,0.2560872169236552,9.31929062155043,0.5847890277947214
Topografía,Pendiente fuerte,0.01001486076112941,0.478806571516642,0.769069192786208,7.590938234063381,0.6096569980061012
Topografía,Plano y ondulado,0.0172514053111068,-0.8132598195716859,-0.2961466448785294,7.026795531092913,0.6020618000623637
Topografía,Pendiente leve,0.02524175658504016,0.11040758701407612,0.4679718918972657,6.221437631875177,0.6033194176240719
Topografía,Ondulado y pendiente,0.02000818418728866,0.2926772223470796,0.3679187855415162,3.782999103786378,0.3925776891233886
Topografía,Ligeramente ondulado,0.03775494820270939,0.05369161955823714,0.21816321934984131,2.0265521104911257,0.2938814932496207
