categoria,masa,Dim1_coord,Dim2_coord,Dim3_coord,Dim4_coord,Dim5_coord,Dim1_contrib,Dim2_contrib,Dim3_contrib,Dim4_contrib,Dim5_contrib,Dim1_cos2,Dim2_cos2,Dim3_cos2,Dim4_cos2,Dim5_cos2
Arroz,0.05957226852749241,-1.0504471856081816,-0.28062550786239193,0.3877606596851277,-0.01150049774977008,0.15926282586109797,30.900293277518365,5.157201648756403,38.040576454144826,0.04995561984111569,17.852149408008703,0.8119648703183178,0.05794861823940572,0.11064104967399616,9.732447527531904e-5,0.01866455460911797
Caña Panelera,0.08847537205746162,0.7066749677736818,-0.7134117172658921,0.08868577428762205,-0.09271163941804116,-0.06458763240754828,20.769776940764295,49.50152282467636,2.955328633688387,4.821674157838447,4.360523859472709,0.4838289885962787,0.49309766508070774,0.0076200951472802,0.00832762176394485,0.00404158018620238
Café,0.09609958863690209,0.5793587747991659,0.4130242628681758,0.14637458517568863,0.2093547218343262,0.01865798102143093,15.163055548840926,18.021392432949376,8.74436632528189,26.70508646948292,0.39524679992205974,0.5774608455648542,0.29347998885709237,0.03686028755690743,0.07540373967336192,5.989032341301929e-4
Aguacate,0.10258232646292348,0.493756031837956,0.19082594460903404,0.05094505565640642,-0.1161475121416002,0.05808998398771325,11.756211527851791,4.106417212739155,1.130712220977956,8.774033869140872,4.0897107919780344,0.7853921781358197,0.11731041880448446,0.00836114635734138,0.04345918393309461,0.01087086886894714
Maíz,0.04921281040684026,-0.6583151361357772,-0.01610001020592416,-0.09548792784809702,0.03582875811176166,-0.1925018234737724,10.025726836981612,0.01402316859805214,1.9056825836029812,0.40054251090214193,21.545937827679406,0.8739465992437547,5.227204827359353e-4,0.01838713875740266,0.00258869405032523,0.07472861116979872
Caucho,0.03006611961835842,-0.5958581301132886,-0.01265894220851238,-0.00900625354531989,0.04845550315484307,-0.25153709571226346,5.018028678586721,0.00529648688361105,0.01035717177380617,0.44757985885717144,22.474964018541776,0.7616866156456711,3.437838095829467e-4,1.7401188984761436e-4,0.00503705624822228,0.13573588215829913
Pastos,0.27022894187073293,-0.14211848022462367,-0.0752141534981112,-0.19104280378385596,0.03911617534195376,0.072685954427299,2.565682956103115,1.6805316286889618,41.88598059002468,2.621510297499372,16.867487438260984,0.28925589762629494,0.08101776483499055,0.5226879401860887,0.02191259852152365,0.0756627476167803
Plátano,0.05386487476039715,-0.29036720880884753,0.12920038484036983,0.15068238500034822,0.1305850641212427,-0.1238631420503876,2.1348669475957065,0.9884369107529232,5.194049515400032,5.823708203649133,9.763541564275185,0.4463791945889889,0.0883764228604347,0.1202081118707606,0.090280887090756,0.08122561152197405
Pasto Kikuyo,0.03165988240615106,0.30439019945645784,-0.4751121557211158,-0.02988064079132016,0.3369002427111942,-0.02299522199309006,1.3789250052628372,7.856285674439824,0.12005066517002952,22.78341831062444,0.19778896157080475,0.1824805552386664,0.4445775694799721,0.00175847045819728,0.22354137142666564,0.00104143094086139
Cacao,0.21823781525274064,-0.05293193347512372,0.2297981201217533,-0.00373011382339115,-0.14116256052964174,-0.03084210113512878,0.28743228049459996,12.66889201151534,0.01289583993548894,27.57249070216441,2.452649330290356,0.03496370211867986,0.6589839522717059,1.7363051934841248e-4,0.2486686005432985,0.01187052178477718
