categoria,masa,coord_dim1,coord_dim2,contrib_dim1,contrib_dim2,cos2_dim1,cos2_dim2,cos2_dim1_dim2
Plano,0.3374900389825763,-0.5407232499252717,-0.10960099979872615,46.38537434047671,4.4566207359705015,0.9514815139896807,0.03909122672704124,0.990572740716722
Ondulado,0.13764510779436154,0.4989158786057284,-0.44567140763242824,16.105916815852908,30.05425804984044,0.5272389848793305,0.42070958630802124,0.9479485711873518
Pendiente moderada,0.1453339363787125,0.2510096165246061,0.4368609587209028,4.3044510786597465,30.490826125720723,0.23861289549139936,0.7227692367616867,0.961382132253086
Pendiente,0.1274148736835304,0.6434134241622773,-0.21122143187823889,24.795357983382033,6.249018041977875,0.8274930963499212,0.08917848876852985,0.916671585118451
Moderadamente ondulado,0.12913786048114406,-0.012436752514405985,0.2560872169236552,0.009389394584120242,9.309901226966307,0.0013759869533579595,0.5834130408413635,0.5847890277947214
Pendiente fuerte,0.010014860761129419,0.47880657151664197,0.769069192786208,1.0792825107275847,6.511655723335796,0.1702978170567857,0.4393591809493155,0.6096569980061012
Plano y ondulado,0.017251405311106804,-0.8132598195716859,-0.2961466448785294,5.363559831622754,1.6632356994701585,0.5315733155246518,0.07048848453771184,0.6020618000623637
Pendiente leve,0.025241756585040166,0.11040758701407612,0.4679718918972657,0.14463967269151937,6.076797959183658,0.03181125044056599,0.5715081671835059,0.6033194176240719
Ondulado y pendiente,0.020008184187288666,0.2926772223470796,0.3679187855415162,0.8056669443136448,2.9773321594727333,0.15214709250608963,0.2404305966172989,0.39257768912338853
Ligeramente ondulado,0.037754948202709394,0.05369161955823714,0.21816321934984131,0.05116310657364018,1.9753890039174857,0.016783528743889643,0.27709796450573104,0.2938814932496207
Plano y pendiente,0.011931683573474619,-0.40043805740267585,-0.12359762527419661,0.899378369592341,0.20037229215546792,0.15025496640110814,0.01431457298273969,0.16456953938384783
Fuertemente ondulado,7.753440589261484e-4,0.39134743000951194,0.2014600446039977,0.055819951523003876,0.03459298198910228,0.20605322117213762,0.054604984400940484,0.2606582055730781
