categoria,masa,coord_dim1,coord_dim2,contrib_dim1,contrib_dim2,cos2_dim1,cos2_dim2,cos2_dim1_dim2
Arroz,0.05957226852749241,-1.0504471856081816,-0.28062550786239193,30.900293277518365,5.157201648756403,0.8119648703183178,0.05794861823940572,0.8699134885577234
Caña Panelera,0.08847537205746162,0.7066749677736818,-0.7134117172658921,20.769776940764295,49.50152282467636,0.4838289885962787,0.49309766508070774,0.9769266536769865
Café,0.09609958863690207,0.5793587747991659,0.41302426286817573,15.163055548840926,18.021392432949376,0.5774608455648542,0.29347998885709237,0.8709408344219466
Aguacate,0.10258232646292348,0.493756031837956,0.19082594460903404,11.756211527851791,4.106417212739155,0.7853921781358197,0.11731041880448446,0.9027025969403042
Maíz,0.04921281040684026,-0.6583151361357772,-0.01610001020592416,10.025726836981612,0.01402316859805214,0.8739465992437547,5.227204827359353e-4,0.8744693197264907
Caucho,0.030066119618358426,-0.5958581301132886,-0.01265894220851238,5.018028678586721,0.00529648688361105,0.7616866156456711,3.437838095829467e-4,0.7620303994552541
Pastos,0.27022894187073293,-0.14211848022462367,-0.0752141534981112,2.565682956103115,1.6805316286889618,0.28925589762629494,0.08101776483499055,0.3702736624612855
Plátano,0.05386487476039715,-0.29036720880884753,0.12920038484036983,2.1348669475957065,0.9884369107529233,0.4463791945889889,0.0883764228604347,0.5347556174494236
Pasto Kikuyo,0.031659882406151064,0.30439019945645784,-0.4751121557211158,1.3789250052628372,7.856285674439824,0.1824805552386664,0.4445775694799721,0.6270581247186385
Cacao,0.21823781525274064,-0.05293193347512372,0.2297981201217533,0.28743228049459996,12.66889201151534,0.034963702118679864,0.6589839522717059,0.6939476543903857
