id,cultivo,topografia
784,Plátano,Plano
788,Pastos,Pendiente
789,Pastos,Pendiente
790,Pastos,Pendiente
792,Pastos,Plano
794,Aguacate,Plano
795,Pastos,Plano
796,Plátano,Plano
797,Pastos,Plano
799,Pastos,Plano
800,Pastos,Plano
807,Café,Pendiente leve
808,Café,Ondulado
809,Aguacate,Pendiente
810,Aguacate,Pendiente
811,Aguacate,Ondulado
812,Aguacate,Pendiente
813,Aguacate,Pendiente
814,Aguacate,Pendiente
815,Aguacate,Pendiente
816,Aguacate,Pendiente
817,Aguacate,Pendiente
818,Aguacate,Pendiente
821,Aguacate,Pendiente
822,Aguacate,Plano
829,Aguacate,Pendiente
830,Aguacate,Pendiente
833,Café,Ondulado
835,Aguacate,Ondulado
836,Cacao,Plano
839,Aguacate,Plano
842,Pastos,Ondulado
843,Pastos,Ondulado
844,Pastos,Ondulado
845,Pastos,Ondulado
846,Pastos,Ondulado
847,Pastos,Ondulado
850,Pastos,Pendiente
853,Aguacate,Ondulado
854,Aguacate,Ondulado
855,Aguacate,Ondulado
856,Aguacate,Ondulado
857,Aguacate,Ondulado
858,Aguacate,Ondulado
859,Aguacate,Ondulado
860,Aguacate,Ondulado
861,Aguacate,Ondulado
862,Aguacate,Ondulado
863,Aguacate,Ondulado
864,Aguacate,Ondulado
865,Aguacate,Ondulado
866,Aguacate,Ondulado
867,Aguacate,Ondulado
869,Aguacate,Ondulado
870,Aguacate,Ondulado
871,Aguacate,Ondulado
872,Aguacate,Ondulado
873,Aguacate,Ondulado
880,Caña Panelera,Ondulado
881,Cacao,Plano
882,Pastos,Plano
883,Arroz,Plano
885,Aguacate,Ondulado
886,Café,Pendiente
888,Aguacate,Ondulado
889,Aguacate,Ondulado
891,Aguacate,Ondulado
892,Café,Pendiente
893,Pastos,Plano
894,Pastos,Plano
895,Pastos,Plano
896,Pastos,Plano
897,Pastos,Plano
898,Pastos,Plano
899,Pastos,Plano
900,Pastos,Plano
901,Pastos,Plano
902,Pastos,Plano
903,Pastos,Plano
904,Pastos,Plano
905,Pastos,Plano
906,Maíz,Plano
909,Café,Ondulado
914,Pastos,Plano
916,Pastos,Plano
917,Pastos,Plano
918,Pastos,Plano
919,Pastos,Plano
920,Pastos,Plano
921,Pastos,Plano
922,Pastos,Plano
923,Pastos,Plano
924,Pastos,Plano
925,Pastos,Plano
926,Pastos,Plano
927,Pastos,Plano
928,Pastos,Plano
929,Pastos,Plano
930,Pastos,Plano
931,Pastos,Plano
932,Pastos,Plano
933,Pastos,Plano
934,Pastos,Plano
935,Pastos,Plano
936,Pastos,Plano
937,Cacao,Pendiente
938,Caña Panelera,Pendiente
1.005,Caucho,Plano
1.019,Caña Panelera,Ondulado
1.02,Caña Panelera,Plano
1.026,Pastos,Plano
1.028,Caña Panelera,Ondulado
1.032,Cacao,Ondulado
1.037,Pastos,Pendiente
1.038,Pastos,Pendiente
1.039,Pastos,Pendiente
1.04,Pastos,Pendiente
1.041,Pastos,Pendiente
1.042,Pastos,Pendiente
1.043,Cacao,Pendiente
1.052,Caña Panelera,Pendiente
1.054,Cacao,Pendiente
1.055,Cacao,Pendiente
1.056,Cacao,Pendiente
1.057,Cacao,Pendiente
1.058,Cacao,Pendiente
1.059,Pastos,Pendiente
1.06,Cacao,Pendiente
1.061,Cacao,Pendiente
1.062,Pastos,Pendiente
1.072,Cacao,Pendiente
1.074,Pastos,Pendiente
1.075,Pastos,Pendiente
1.076,Pastos,Pendiente
1.088,Pastos,Plano
1.092,Pastos,Pendiente
1.093,Pastos,Pendiente
1.094,Pastos,Pendiente
1.096,Café,Pendiente
1.1,Café,Pendiente
1.102,Aguacate,Plano
1.103,Pastos,Plano
1.118,Pastos,Pendiente
1.119,Café,Pendiente
1.12,Café,Pendiente
1.121,Pastos,Pendiente
1.122,Cacao,Pendiente
1.123,Cacao,Pendiente
1.124,Café,Pendiente
1.125,Pastos,Pendiente
1.126,Cacao,Pendiente
1.127,Pastos,Pendiente
1.128,Cacao,Pendiente
1.129,Cacao,Pendiente
1.13,Café,Pendiente
1.131,Pastos,Pendiente
1.132,Pastos,Pendiente
1.133,Pastos,Pendiente
1.134,Pastos,Pendiente
1.135,Cacao,Pendiente
1.136,Pastos,Pendiente
1.137,Pastos,Pendiente
1.138,Caña Panelera,Pendiente
1.139,Caña Panelera,Pendiente
1.14,Cacao,Pendiente
1.141,Caña Panelera,Pendiente
1.142,Pastos,Pendiente
1.143,Pastos,Pendiente
1.144,Aguacate,Pendiente
1.145,Pastos,Pendiente
1.146,Cacao,Pendiente
1.147,Cacao,Pendiente
1.148,Cacao,Pendiente
1.149,Cacao,Pendiente
1.15,Café,Pendiente
1.151,Cacao,Pendiente
1.152,Cacao,Pendiente
1.153,Caña Panelera,Pendiente
1.154,Café,Pendiente
1.155,Pastos,Pendiente
1.156,Café,Pendiente
1.157,Café,Pendiente
1.158,Cacao,Pendiente
1.159,Aguacate,Pendiente
1.16,Cacao,Pendiente
1.161,Pastos,Ondulado
1.162,Pastos,Ondulado
1.163,Pastos,Ondulado
1.164,Pastos,Ondulado
1.165,Pastos,Ondulado
1.166,Pastos,Ondulado
1.167,Pastos,Ondulado
1.168,Pastos,Ondulado
1.169,Pastos,Ondulado
1.17,Pastos,Ondulado
1.177,Café,Pendiente
1.179,Pastos,Ondulado
1.181,Pastos,Ondulado
1.182,Pastos,Ondulado
1.184,Café,Pendiente
1.189,Plátano,Ondulado
1.19,Plátano,Ondulado
1.191,Pastos,Ondulado
1.192,Plátano,Ondulado
1.193,Plátano,Ondulado
1.194,Plátano,Plano
1.195,Café,Pendiente
1.197,Pastos,Ondulado
1.199,Pastos,Ondulado
1.2,Plátano,Ondulado
1.201,Plátano,Ondulado
1.202,Plátano,Ondulado
1.205,Plátano,Ondulado
1.206,Plátano,Plano
1.207,Plátano,Ondulado
1.208,Plátano,Pendiente
1.209,Plátano,Ondulado
1.21,Plátano,Ondulado
1.211,Plátano,Ondulado
1.212,Plátano,Ondulado
1.213,Plátano,Ondulado
1.214,Plátano,Ondulado
1.223,Plátano,Ondulado
1.225,Plátano,Ondulado
1.226,Plátano,Ondulado
1.227,Plátano,Pendiente
1.228,Plátano,Ondulado
1.229,Plátano,Ondulado
